time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2010-12-31T23:18:12.650Z,26.617,142.937,10,4.1,mb,19,114.7,,0.41,pde,pde20101231231812650_10,2013-03-16T01:51:51.460Z,"Bonin Islands, Japan region",earthquake
2010-12-31T23:01:03.440Z,36.678,140.789,52.1,4.6,mwr,161,109.6,,0.95,pde,pde20101231230103440_52,2014-04-10T05:07:33.831Z,"near the east coast of Honshu, Japan",earthquake
2010-12-31T22:49:31.720Z,27.284,143.401,11.9,4.3,mb,24,107.5,,0.52,pde,pde20101231224931720_11,2013-03-16T01:51:51.392Z,"Bonin Islands, Japan region",earthquake
2010-12-31T22:32:13.290Z,-24.05,-176.382,17.7,4.5,mb,17,87.3,,0.73,pde,pde20101231223213290_17,2013-03-16T01:51:51.389Z,"south of the Fiji Islands",earthquake
2010-12-31T22:04:44.350Z,11.884,44.059,10,4.8,mb,48,95,,0.72,pde,pde20101231220444350_10,2013-03-16T01:51:51.357Z,"Gulf of Aden",earthquake
2010-12-31T21:34:57.000Z,27.345,143.458,3.7,4.3,mb,23,86.1,,0.72,pde,pde20101231213457000_3,2013-03-16T01:51:51.354Z,"Bonin Islands, Japan region",earthquake
2010-12-31T20:57:36.720Z,40.597,27.367,8.6,4.5,ml,33,44.7,,,pde,pde20101231205736720_8,2013-03-16T01:51:51.351Z,"western Turkey",earthquake
2010-12-31T19:32:32.140Z,27.102,143.415,10,4.6,mb,11,139,,0.94,pde,pde20101231193232140_10,2013-03-16T01:51:51.319Z,"Bonin Islands, Japan region",earthquake
2010-12-31T19:23:54.030Z,51.4,-178.737,12.9,2.7,ml,13,201.7,,,pde,pde20101231192354030_12,2013-03-16T01:51:51.316Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2010-12-31T19:00:39.150Z,58.188,-156.056,146.1,3.7,m,99,113.5,,,pde,pde20101231190039150_146,2013-03-16T01:51:51.273Z,"Alaska Peninsula",earthquake
2010-12-31T18:18:49.410Z,15.171,-61.204,145,4.9,mb,254,38,,,pde,pde20101231181849410_145,2014-04-10T05:07:16.284Z,"Dominica region, Leeward Islands",earthquake
2010-12-31T18:09:32.050Z,11.871,44.001,10,4.7,mb,56,94.8,,0.91,pde,pde20101231180932050_10,2013-03-16T01:51:51.209Z,"Gulf of Aden",earthquake
2010-12-31T17:57:56.110Z,0.88,97.399,38.8,4,mb,21,186.7,,0.75,pde,pde20101231175756110_38,2013-03-16T01:51:51.206Z,"Nias region, Indonesia",earthquake
2010-12-31T17:57:26.930Z,26.471,143.932,10,4.5,mb,27,76.3,,0.8,pde,pde20101231175726930_10,2013-03-16T01:51:51.204Z,"Bonin Islands, Japan region",earthquake
2010-12-31T17:46:04.040Z,-44.888,-80.573,10,4.5,mb,16,159.3,,1.21,pde,pde20101231174604040_10,2013-03-16T01:51:51.159Z,"off the coast of Aisen, Chile",earthquake
