time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-01-31T21:26:10.220Z,56.574,-152.398,10.2,2.9,ml,32,229.4,,,pde,pde20120131212610220_10,2013-03-16T00:09:00.403Z,"Kodiak Island region, Alaska",earthquake
2012-01-31T21:24:05.000Z,-32.664,-71.38,46.2,3.7,ml,10,154.5,,,pde,pde20120131212405000_46,2013-03-16T00:09:00.399Z,"Valparaiso, Chile",earthquake
2012-01-31T21:19:47.530Z,-3.079,130.243,52.6,4.3,mb,19,74.8,,1.16,pde,pde20120131211947530_52,2013-03-16T00:09:00.314Z,"Seram, Indonesia",earthquake
2012-01-31T20:30:28.290Z,11.671,125.454,10,4.7,mb,24,133.6,,0.93,pde,pde20120131203028290_10,2013-03-16T00:09:00.274Z,"Samar, Philippines",earthquake
2012-01-31T19:58:02.470Z,-14.255,167.18,175,5.1,mb,162,51.7,,0.91,pde,pde20120131195802470_175,2014-09-04T17:22:57.000Z,"Vanuatu",earthquake
2012-01-31T19:53:44.140Z,-30.699,-177.843,43.2,5,mb,40,181.1,,1.21,pde,pde20120131195344140_43,2013-03-16T00:09:00.134Z,"Kermadec Islands, New Zealand",earthquake
2012-01-31T19:35:21.640Z,37.201,141.579,21,4.8,mb,42,66.5,,1.13,pde,pde20120131193521640_21,2013-03-16T00:09:00.124Z,"near the east coast of Honshu, Japan",earthquake
2012-01-31T19:15:20.040Z,60.266,-140.113,1,2.8,ml,45,60.4,,,pde,pde20120131191520040_1,2013-03-16T00:09:00.114Z,"Southern Yukon Territory, Canada",earthquake
2012-01-31T19:00:02.920Z,-2.855,129.623,38.5,4.5,mb,24,118.2,,1.65,pde,pde20120131190002920_38,2013-03-16T00:09:00.109Z,"Seram, Indonesia",earthquake
2012-01-31T18:25:13.160Z,-6.238,149.824,61.9,4.9,mb,81,31.5,,1.29,pde,pde20120131182513160_61,2013-03-16T00:09:00.090Z,"New Britain region, Papua New Guinea",earthquake
2012-01-31T17:30:23.190Z,1.129,126.738,47.8,4.6,mb,19,75.3,,0.54,pde,pde20120131173023190_47,2013-03-16T00:09:00.084Z,"Molucca Sea",earthquake
2012-01-31T17:24:07.970Z,53.881,-163.822,25.6,3,ml,26,206.7,,,pde,pde20120131172407970_25,2013-03-16T00:09:00.076Z,"Unimak Island region, Alaska",earthquake
