time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-02-29T23:50:46.420Z,-17.862,167.503,10,4.8,mb,41,118.3,,1.04,pde,pde20120229235046420_10,2013-03-16T00:09:51.091Z,"Vanuatu",earthquake
2012-02-29T23:50:38.450Z,51.274,-177.996,25.3,3.1,ml,10,252.3,,,pde,pde20120229235038450_25,2013-03-16T00:09:51.089Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-02-29T23:12:32.440Z,51.551,-177.122,44.2,2.6,ml,9,232.8,,,pde,pde20120229231232440_44,2013-03-16T00:09:51.086Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-02-29T22:55:38.230Z,18.985,-67.347,9.3,2.9,md,9,216.6,,,pde,pde20120229225538230_9,2013-03-16T00:09:51.084Z,"Puerto Rico region",earthquake
2012-02-29T22:36:22.290Z,37.359,-113.842,1.3,3,ml,29,62.4,,,pde,pde20120229223622290_1,2013-12-13T22:38:47.866Z,"Utah",earthquake
2012-02-29T22:32:35.610Z,36.427,140.448,74.9,5.4,mwc,244,59.6,,0.74,pde,pde20120229223235610_74,2014-09-04T17:15:01.000Z,"near the east coast of Honshu, Japan",earthquake
2012-02-29T22:20:42.000Z,35.725,-97.168,4.9,3,mblg,17,69.7,,,pde,pde20120229222042000_4,2014-04-10T03:59:13.241Z,"Oklahoma",earthquake
2012-02-29T22:16:55.900Z,19.032,-68.988,5.9,3.7,md,13,149.6,,,pde,pde20120229221655900_5,2013-03-16T00:09:50.974Z,"Dominican Republic region",earthquake
2012-02-29T21:59:37.940Z,-17.794,167.399,10,5,mb,97,99.7,,0.84,pde,pde20120229215937940_10,2014-09-04T17:15:00.000Z,"Vanuatu",earthquake
2012-02-29T20:44:33.650Z,-6.11,130.308,33,4.7,mb,45,64.7,,1.03,pde,pde20120229204433650_33,2013-03-16T00:09:50.908Z,"Banda Sea",earthquake
2012-02-29T20:38:56.610Z,-15.159,-173.581,20.1,4.9,mb,78,67,,1.32,pde,pde20120229203856610_20,2014-09-04T17:14:59.000Z,"Tonga",earthquake
2012-02-29T20:24:05.660Z,27.842,142.699,48.4,4.3,mb,26,128.3,,1.13,pde,pde20120229202405660_48,2013-03-16T00:09:50.895Z,"Bonin Islands, Japan region",earthquake
2012-02-29T20:19:35.850Z,51.387,96.574,10,4.6,mb,46,77.4,,1.28,pde,pde20120229201935850_10,2013-03-16T00:09:50.889Z,"southwestern Siberia, Russia",earthquake
2012-02-29T19:43:03.920Z,-29.799,-176.06,39.7,4.3,mb,11,141.7,,0.57,pde,pde20120229194303920_39,2013-03-16T00:09:50.887Z,"Kermadec Islands region",earthquake
2012-02-29T19:02:37.490Z,-43.576,172.39,11.7,4.2,ml,23,83.6,,,pde,pde20120229190237490_11,2013-03-16T00:09:50.869Z,"South Island of New Zealand",earthquake
2012-02-29T17:35:55.790Z,33.214,-115.561,2.5,3.4,ml,33,133.3,,,pde,pde20120229173555790_2,2014-04-09T04:31:30.358Z,"Southern California",earthquake
2012-02-29T17:33:19.860Z,-5.433,103.235,50.8,4.5,mb,31,181.3,,0.56,pde,pde20120229173319860_50,2013-03-16T00:09:50.832Z,"southern Sumatra, Indonesia",earthquake
2012-02-29T17:04:25.590Z,38.913,-122.637,4,2.2,md,16,122.1,,,pde,pde20120229170425590_4,2014-04-09T10:47:47.343Z,"Northern California",earthquake
2012-02-29T16:11:27.720Z,57.353,-142.917,10,2.7,ml,20,236,,,pde,pde20120229161127720_10,2013-03-16T00:09:50.652Z,"Gulf of Alaska",earthquake
2012-02-29T16:03:57.290Z,-17.647,168.038,46.3,5.4,mwb,180,26.5,,0.79,pde,pde20120229160357290_46,2014-09-04T17:14:58.000Z,"Vanuatu",earthquake
