time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-09-30T23:04:45.000Z,41.469,81.886,46.6,4.7,mb,103,38.7,,0.72,pde,pde20120930230445000_46,2013-03-16T00:14:53.003Z,"southern Xinjiang, China",earthquake
2012-09-30T22:47:25.910Z,2.796,127.414,64.2,4.4,mb,45,84.7,,1.08,pde,pde20120930224725910_64,2013-03-16T00:14:52.995Z,"Molucca Sea",earthquake
2012-09-30T22:39:17.900Z,38.326,142.082,26.4,4.6,mb,70,123.5,,1.23,pde,pde20120930223917900_26,2013-03-16T00:14:52.963Z,"near the east coast of Honshu, Japan",earthquake
2012-09-30T22:37:20.690Z,51.511,-178.06,11.9,2.5,ml,12,227.4,,,pde,pde20120930223720690_11,2013-03-16T00:14:52.958Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-09-30T22:36:08.250Z,-24.896,-13.417,10,4.6,mb,29,63.6,,0.74,pde,pde20120930223608250_10,2013-03-16T00:14:52.953Z,"southern Mid-Atlantic Ridge",earthquake
2012-09-30T21:49:26.720Z,56.555,164.015,31.3,4.5,mb,142,129.1,,0.83,pde,pde20120930214926720_31,2013-03-16T00:14:52.925Z,"Komandorskiye Ostrova, Russia region",earthquake
2012-09-30T21:47:53.150Z,13.264,50.934,10,4.4,mb,39,96.1,,1.09,pde,pde20120930214753150_10,2013-03-16T00:14:52.916Z,"Gulf of Aden",earthquake
2012-09-30T20:43:37.960Z,2.496,89.913,10,4.7,mb,43,178.5,,0.83,pde,pde20120930204337960_10,2013-03-16T00:14:52.908Z,"North Indian Ocean",earthquake
2012-09-30T20:25:27.480Z,-20.063,-173.859,10,4,mb,16,130.2,,1.27,pde,pde20120930202527480_10,2013-03-16T00:14:52.902Z,"Tonga",earthquake
2012-09-30T20:02:28.100Z,15.571,-94.158,20,4.2,md,6,166.6,,,pde,pde20120930200228100_20,2013-03-16T00:14:52.872Z,"offshore Chiapas, Mexico",earthquake
2012-09-30T19:25:25.120Z,55.872,-157.899,36.2,3.4,ml,28,191.2,,,pde,pde20120930192525120_36,2013-03-16T00:14:52.858Z,"Alaska Peninsula",earthquake
2012-09-30T19:19:25.000Z,35.528,-96.782,3.4,2.7,ml,6,135.4,,,pde,pde20120930191925000_3,2013-03-16T00:14:52.855Z,"Oklahoma",earthquake
2012-09-30T19:17:17.000Z,35.523,-96.779,5,3,ml,23,87.5,,,pde,pde20120930191717000_5,2014-04-10T12:07:20.841Z,"Oklahoma",earthquake
2012-09-30T18:00:27.140Z,19.661,-64.23,63.2,3.2,md,7,311,,,pde,pde20120930180027140_63,2013-03-16T00:14:52.844Z,"Virgin Islands region",earthquake
2012-09-30T16:59:39.640Z,68.475,-147.331,3,4,ml,56,99.1,,,pde,pde20120930165939640_3,2013-03-16T00:14:52.832Z,"northern Alaska",earthquake
2012-09-30T16:53:54.960Z,51.411,-176.392,24.8,2.5,ml,12,234.2,,,pde,pde20120930165354960_24,2013-03-16T00:14:52.829Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-09-30T16:41:49.160Z,51.447,-178.189,16,2.7,ml,19,197,,,pde,pde20120930164149160_16,2013-03-16T00:14:52.820Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-09-30T16:31:35.970Z,1.929,-76.362,170,7.3,mww,934,15.5,,0.87,pde,pde20120930163135970_170,2014-09-04T16:58:25.000Z,"Colombia",earthquake
2012-09-30T16:27:23.030Z,63.843,-148.914,118.9,2.6,ml,52,45.3,,,pde,pde20120930162723030_118,2013-03-16T00:14:52.398Z,"Central Alaska",earthquake
2012-09-30T15:46:08.000Z,47.749,-120.201,4.7,2,md,9,99.2,,,pde,pde20120930154608000_4,2014-04-10T14:32:38.914Z,"Washington",earthquake
2012-09-30T15:35:53.730Z,23,146.043,35.7,5.4,mb,408,17,,0.72,pde,pde20120930153553730_35,2014-09-04T16:58:23.000Z,"east of the Volcano Islands",earthquake
2012-09-30T14:29:29.140Z,51.539,-172.94,48.5,3.2,ml,15,217.8,,,pde,pde20120930142929140_48,2013-03-16T00:14:52.078Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-09-30T13:41:24.620Z,19.28,-64.035,96.6,3,md,4,336.3,,,pde,pde20120930134124620_96,2013-03-16T00:14:52.073Z,"Virgin Islands region",earthquake
2012-09-30T11:55:28.000Z,16.078,-98.259,3.6,4.1,md,19,231.9,,,pde,pde20120930115528000_3,2013-03-16T00:14:52.059Z,"offshore Oaxaca, Mexico",earthquake
