time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-10-31T23:47:44.150Z,51.51,-178.222,22.4,2.9,ml,17,194.1,,,pde,pde20121031234744150_22,2013-03-16T00:08:41.638Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-10-31T23:18:54.180Z,52.689,-169.289,36,3.8,ml,24,140.9,,,pde,pde20121031231854180_36,2013-03-16T00:08:41.634Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2012-10-31T22:46:27.040Z,52.05,-171.426,41.6,4.5,mb,140,134.6,,,pde,pde20121031224627040_41,2013-03-16T00:08:41.574Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2012-10-31T22:36:17.510Z,-3.524,149.451,10,4.3,mb,35,116.8,,1.11,pde,pde20121031223617510_10,2014-09-04T17:02:21.000Z,"Bismarck Sea",earthquake
2012-10-31T22:32:36.630Z,-3.541,149.221,10,4.5,mb,31,96.4,,1.29,pde,pde20121031223236630_10,2014-09-04T17:02:19.000Z,"Bismarck Sea",earthquake
2012-10-31T21:27:04.030Z,-4.609,153.415,35,4.8,mb,49,83.6,,1.27,pde,pde20121031212704030_35,2013-03-16T00:08:41.552Z,"New Ireland region, Papua New Guinea",earthquake
2012-10-31T21:23:49.700Z,36.7872,-121.5273,8.3,1,Md,,43.2,0.03593261,0.22,nc,nc71872755,2013-03-13T16:30:44.151Z,"6km S of San Juan Bautista, California",earthquake
2012-10-31T20:56:39.090Z,-41.348,-88.514,10,4.8,mb,22,94.6,,0.91,pde,pde20121031205639090_10,2014-09-04T17:02:18.000Z,"West Chile Rise",earthquake
2012-10-31T19:53:56.140Z,8.305,93.974,76,4.3,mb,17,163.8,,0.91,pde,pde20121031195356140_76,2013-03-16T00:08:41.546Z,"Nicobar Islands, India region",earthquake
2012-10-31T19:27:58.300Z,38.9288,-122.0802,13.3,1.6,Md,,198,0.13474729,0.36,nc,nc71872645,2013-09-27T01:28:40.166Z,"10km S of Arbuckle, California",earthquake
2012-10-31T19:10:06.110Z,19.592,-65.278,17.8,3.2,md,15,228.8,,,pde,pde20121031191006110_17,2014-04-09T12:27:08.121Z,"Puerto Rico region",earthquake
2012-10-31T19:08:37.150Z,-18.875,-177.547,200,4.3,mb,18,185.2,,0.95,pde,pde20121031190837150_200,2013-03-16T00:08:41.542Z,"Fiji region",earthquake
2012-10-31T19:02:13.320Z,-5.442,151.828,74.1,4.1,mb,13,155.5,,1.14,pde,pde20121031190213320_74,2013-03-16T00:08:41.540Z,"New Britain region, Papua New Guinea",earthquake
2012-10-31T16:40:12.540Z,18.288,-65.47,13.4,3.1,md,10,160.2,,,pde,pde20121031164012540_13,2013-03-16T00:08:41.538Z,"Puerto Rico region",earthquake
2012-10-31T16:26:37.700Z,-30.218,-177.784,55.5,4.6,mb,36,135.7,,1.05,pde,pde20121031162637700_55,2013-03-16T00:08:41.533Z,"Kermadec Islands, New Zealand",earthquake
2012-10-31T16:25:27.000Z,52.653,-132.973,10,4,ml,67,170.4,,,pde,pde20121031162527000_10,2013-03-16T00:08:41.527Z,"Haida Gwaii, Canada",earthquake
2012-10-31T15:29:52.780Z,40.974,-123.699,12.6,3.2,mwr,30,104.3,,,pde,pde20121031152952780_12,2014-04-09T11:15:26.282Z,"Northern California",earthquake
2012-10-31T15:15:07.090Z,-5.362,34.788,10,4.6,mb,35,57.2,,1.24,pde,pde20121031151507090_10,2013-03-16T00:08:41.519Z,"Tanzania",earthquake
2012-10-31T15:13:12.070Z,4.349,-32.522,10,4.5,mb,36,57.6,,0.76,pde,pde20121031151312070_10,2013-03-16T00:08:41.487Z,"central Mid-Atlantic Ridge",earthquake
2012-10-31T14:27:47.130Z,13.698,144.818,140.3,4.6,mb,39,71,,0.92,pde,pde20121031142747130_140,2013-03-16T00:08:41.481Z,"Guam region",earthquake
2012-10-31T14:21:03.000Z,53.59,-164.885,39.7,2.8,ml,14,252,,,pde,pde20121031142103000_39,2013-03-16T00:08:41.460Z,"Unimak Island region, Alaska",earthquake
2012-10-31T13:27:24.600Z,37.6448,-118.9498,8.4,0.6,Md,,111.6,0.02694946,0.04,nc,nc71872490,2013-06-04T17:41:25.118Z,"2km ESE of Mammoth Lakes, California",earthquake
2012-10-31T13:00:15.010Z,41.798,-127.048,10,4.2,mb,43,209,,0.99,pde,pde20121031130015010_10,2014-04-10T03:10:46.574Z,"off the coast of Northern California",earthquake
2012-10-31T12:35:18.200Z,-18.717,-177.56,368.4,4.5,mb,129,132.8,,0.81,pde,pde20121031123518200_368,2013-03-16T00:08:41.420Z,"Fiji region",earthquake
2012-10-31T12:30:29.100Z,15.371,-94.779,16.2,4,md,5,186.9,,,pde,pde20121031123029100_16,2013-03-16T00:08:41.418Z,"offshore Oaxaca, Mexico",earthquake
2012-10-31T12:05:59.290Z,36.087,-89.772,6.3,2.5,md,26,48.5,,,pde,pde20121031120559290_6,2014-04-09T11:44:41.095Z,"Missouri",earthquake
2012-10-31T09:56:29.340Z,2.52,95.817,39,4.5,mb,24,214.2,,0.39,pde,pde20121031095629340_39,2013-03-16T00:08:41.410Z,"Simeulue, Indonesia",earthquake
2012-10-31T09:52:57.890Z,37.088,-121.503,8.1,3.2,mwr,70,28.5,,,pde,pde20121031095257890_8,2014-04-09T11:15:23.841Z,"Northern California",earthquake
2012-10-31T09:04:54.920Z,-15.283,-13.166,10,4.8,mb,55,50.9,,0.95,pde,pde20121031090454920_10,2014-09-04T17:02:16.000Z,"southern Mid-Atlantic Ridge",earthquake
2012-10-31T08:29:17.380Z,53.305,-167.065,25.6,2.6,ml,10,214.6,,,pde,pde20121031082917380_25,2013-03-16T00:08:41.340Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2012-10-31T06:53:57.750Z,-2.136,99.578,35,4.7,mb,60,181.2,,0.92,pde,pde20121031065357750_35,2013-03-16T00:08:41.295Z,"Kepulauan Mentawai region, Indonesia",earthquake
2012-10-31T06:50:02.600Z,35.994,139.808,58.8,4.5,mb,73,120.9,,0.58,pde,pde20121031065002600_58,2014-04-10T04:21:55.421Z,"near the south coast of Honshu, Japan",earthquake
2012-10-31T04:48:38.080Z,52.366,-132.551,10,4.5,mb,246,103.4,,,pde,pde20121031044838080_10,2013-03-16T00:08:41.129Z,"Haida Gwaii, Canada",earthquake
2012-10-31T04:01:29.250Z,-7.361,126.553,317.5,4.6,mb,72,28.1,,1.02,pde,pde20121031040129250_317,2013-03-16T00:08:41.119Z,"Kepulauan Barat Daya, Indonesia",earthquake
2012-10-31T02:57:43.170Z,62.05,-146.546,42.5,4,mwr,101,23.6,,,pde,pde20121031025743170_42,2014-04-08T21:03:00.051Z,"Central Alaska",earthquake
2012-10-31T02:23:27.000Z,26.83,61.98,17,4.4,mb,36,117.8,,,pde,pde20121031022327000_17,2013-03-16T00:08:41.094Z,"Iran-Pakistan border region",earthquake
2012-10-31T02:07:23.990Z,14.905,121.567,35,4.5,mb,29,130.9,,0.62,pde,pde20121031020723990_35,2013-03-16T00:08:41.090Z,"Luzon, Philippines",earthquake
2012-10-31T01:36:55.360Z,35.998,70.057,116.7,4.1,mb,13,150.7,,1.04,pde,pde20121031013655360_116,2013-03-16T00:08:41.086Z,"Hindu Kush region, Afghanistan",earthquake
2012-10-30T23:26:17.030Z,58.945,-154.457,119.1,2.8,ml,35,116.3,,,pde,pde20121030232617030_119,2014-04-08T21:02:57.700Z,"Alaska Peninsula",earthquake
2012-10-30T23:19:09.680Z,19.403,-155.296,3.3,2.5,ml,21,72.6,,,pde,pde20121030231909680_3,2013-03-16T00:08:41.076Z,"Hawaii region, Hawaii",earthquake
2012-10-30T23:02:19.470Z,61.47,-150.757,64.6,2.8,ml,43,48.4,,,pde,pde20121030230219470_64,2013-03-16T00:08:41.069Z,"Southern Alaska",earthquake
2012-10-30T22:49:52.190Z,2.144,127.061,88.3,4.5,mb,36,118.6,,0.91,pde,pde20121030224952190_88,2013-03-16T00:08:41.064Z,"Molucca Sea",earthquake
