time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-05-31T23:13:10.300Z,-0.795,133.355,33.2,4.2,mb,14,138.9,,0.67,pde,pde20120531231310300_33,2013-03-16T00:12:04.051Z,"near the north coast of Papua, Indonesia",earthquake
2012-05-31T23:01:03.360Z,-0.902,133.181,53.2,5.6,mwc,135,18.8,,1.07,pde,pde20120531230103360_53,2014-09-04T16:46:57.000Z,"near the north coast of Papua, Indonesia",earthquake
2012-05-31T22:41:17.290Z,34.105,-117.924,13.3,2.7,ml,44,60,,,pde,pde20120531224117290_13,2014-04-09T04:35:55.224Z,"Greater Los Angeles area, California",earthquake
2012-05-31T22:37:53.440Z,19.086,-65.933,8.1,2.9,md,6,274.6,,,pde,pde20120531223753440_8,2013-03-16T00:12:04.004Z,"Puerto Rico region",earthquake
2012-05-31T21:15:18.200Z,19.365,-155.475,10.9,3.5,md,27,114.6,,,pde,pde20120531211518200_10,2014-04-09T05:48:19.559Z,"Hawaii region, Hawaii",earthquake
2012-05-31T19:54:22.620Z,35.535,141.781,13.5,4.4,mb,12,145.9,,1.1,pde,pde20120531195422620_13,2013-03-16T00:12:03.996Z,"near the east coast of Honshu, Japan",earthquake
2012-05-31T19:09:10.300Z,16.401,-94.845,85,4.2,mb,44,83.2,,,pde,pde20120531190910300_85,2014-09-04T16:46:56.000Z,"offshore Oaxaca, Mexico",earthquake
2012-05-31T19:04:04.000Z,44.891,10.98,8.7,4.3,ml,65,33.6,,,pde,pde20120531190404000_8,2013-03-16T00:12:03.962Z,"northern Italy",earthquake
2012-05-31T18:32:31.260Z,0.812,92.444,22.7,4.5,mb,20,109.7,,0.73,pde,pde20120531183231260_22,2013-03-16T00:12:03.960Z,"off the west coast of northern Sumatra",earthquake
2012-05-31T17:58:59.280Z,16.071,-98.738,10,4,md,8,216.5,,0.84,pde,pde20120531175859280_10,2013-03-16T00:12:03.957Z,"offshore Guerrero, Mexico",earthquake
2012-05-31T17:37:30.670Z,14.258,-90.396,241.8,4.6,mb,80,166.8,,1.06,pde,pde20120531173730670_241,2013-03-16T00:12:03.945Z,"Guatemala",earthquake
2012-05-31T17:29:57.500Z,-17.683,-174.314,11.7,5,mb,82,50.5,,0.98,pde,pde20120531172957500_11,2013-03-16T00:12:03.933Z,"Tonga",earthquake
2012-05-31T16:08:00.290Z,19.196,-155.361,7,2.7,ml,29,180.6,,,pde,pde20120531160800290_7,2013-03-16T00:12:03.930Z,"Hawaii region, Hawaii",earthquake
2012-05-31T16:03:33.400Z,38.796,70.338,55.8,4,mb,36,94,,1.39,pde,pde20120531160333400_55,2013-03-16T00:12:03.926Z,"Tajikistan",earthquake
2012-05-31T16:00:33.250Z,1.432,92.333,35,4.5,mb,30,167,,1.04,pde,pde20120531160033250_35,2013-03-16T00:12:03.923Z,"off the west coast of northern Sumatra",earthquake
2012-05-31T15:55:34.770Z,-20.428,-178.227,537.8,4.6,mb,238,83.5,,0.9,pde,pde20120531155534770_537,2013-03-16T00:12:03.888Z,"Fiji region",earthquake
2012-05-31T15:35:55.660Z,24.602,67.092,10,4,mb,18,178.8,,1.3,pde,pde20120531153555660_10,2013-03-16T00:12:03.885Z,"Pakistan",earthquake
2012-05-31T14:58:21.000Z,44.88,10.87,5,4.2,ml,39,108.4,,,pde,pde20120531145821000_5,2013-03-16T00:12:03.880Z,"northern Italy",earthquake
2012-05-31T14:34:22.610Z,24.397,125.099,35,4,mb,26,114.4,,1.23,pde,pde20120531143422610_35,2013-03-16T00:12:03.877Z,"southwestern Ryukyu Islands, Japan",earthquake
2012-05-31T13:36:59.220Z,67.514,-166.516,28.7,3.3,ml,12,206.6,,,pde,pde20120531133659220_28,2013-03-16T00:12:03.875Z,"Bering Strait",earthquake
2012-05-31T12:50:46.100Z,5.189,127.371,161.3,4.6,mb,79,109.3,,0.68,pde,pde20120531125046100_161,2013-03-16T00:12:03.868Z,"Philippine Islands region",earthquake
2012-05-31T12:25:21.010Z,56.641,-157.568,92.1,2.7,ml,19,158.6,,,pde,pde20120531122521010_92,2013-03-16T00:12:03.866Z,"Alaska Peninsula",earthquake
2012-05-31T11:57:44.830Z,54.718,-159.494,16,2.9,ml,14,243.3,,,pde,pde20120531115744830_16,2013-03-16T00:12:03.828Z,"south of Alaska",earthquake
2012-05-31T11:56:41.570Z,-19.829,-175.312,90.3,4.7,mb,46,79.5,,0.9,pde,pde20120531115641570_90,2013-03-16T00:12:03.821Z,"Tonga",earthquake
2012-05-31T11:16:19.290Z,19.328,-155.055,8.8,2.9,ml,28,220.4,,,pde,pde20120531111619290_8,2014-04-09T05:48:17.473Z,"Hawaii region, Hawaii",earthquake
2012-05-31T08:58:42.780Z,60.166,-151.651,57,3,ml,67,46.7,,,pde,pde20120531085842780_57,2013-03-16T00:12:03.808Z,"Kenai Peninsula, Alaska",earthquake
2012-05-31T08:46:46.100Z,16.319,-98.567,16.1,4,mb,12,191.3,,,pde,pde20120531084646100_16,2013-03-16T00:12:03.806Z,"offshore Guerrero, Mexico",earthquake
2012-05-31T08:27:17.000Z,-34.225,-71.751,20,4.5,mb,57,112.9,,,pde,pde20120531082717000_20,2013-03-16T00:12:03.784Z,"Libertador General Bernardo O'Higgins, Chile",earthquake
2012-05-31T08:19:56.290Z,58.097,-151.727,14.4,3.1,ml,61,145.3,,,pde,pde20120531081956290_14,2013-03-16T00:12:03.750Z,"Kodiak Island region, Alaska",earthquake
2012-05-31T06:42:55.830Z,33.176,-118.833,5.3,3.5,ml,38,172.6,,,pde,pde20120531064255830_5,2013-12-13T22:53:08.476Z,"Channel Islands region, California",earthquake
2012-05-31T06:35:54.000Z,-11.37,-77.53,46,4.1,mb,9,216.7,,,pde,pde20120531063554000_46,2013-03-16T00:12:03.659Z,"near the coast of central Peru",earthquake
2012-05-31T06:06:50.140Z,-23.23,-176.831,129.1,4.6,mb,111,47,,0.78,pde,pde20120531060650140_129,2013-03-16T00:12:03.648Z,"south of the Fiji Islands",earthquake
2012-05-31T06:00:23.840Z,52.35,-170.058,4.8,3.1,ml,12,214.7,,,pde,pde20120531060023840_4,2013-03-16T00:12:03.646Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2012-05-31T05:49:32.350Z,37.543,141.26,52,4.6,mb,217,64.7,,0.78,pde,pde20120531054932350_52,2014-04-10T04:07:18.861Z,"near the east coast of Honshu, Japan",earthquake
2012-05-31T04:57:24.590Z,-8.53,-74.166,161.6,4.6,mb,169,54,,0.86,pde,pde20120531045724590_161,2014-04-10T04:07:16.827Z,"central Peru",earthquake
2012-05-31T04:23:09.340Z,18.938,-64.428,30.6,3,md,5,315.5,,,pde,pde20120531042309340_30,2013-03-16T00:12:03.583Z,"Virgin Islands region",earthquake
2012-05-31T03:24:59.300Z,2.743,126.49,76.2,4.2,mb,31,130.5,,0.62,pde,pde20120531032459300_76,2013-03-16T00:12:03.580Z,"Molucca Sea",earthquake
2012-05-30T23:28:25.480Z,39.622,143.533,22.9,4.1,mb,14,201.8,,0.4,pde,pde20120530232825480_22,2013-03-16T00:12:03.578Z,"off the east coast of Honshu, Japan",earthquake
2012-05-30T23:03:14.450Z,17.997,-67.297,35.4,2.7,md,10,243.5,,,pde,pde20120530230314450_35,2013-03-16T00:12:03.576Z,"Mona Passage, Puerto Rico",earthquake
2012-05-30T22:37:05.640Z,19.535,-66.192,142.7,3.5,md,5,264.3,,,pde,pde20120530223705640_142,2013-03-16T00:12:03.574Z,"Puerto Rico region",earthquake
2012-05-30T22:27:58.900Z,-43.816,171.373,28.4,4.2,mb,39,110.9,,,pde,pde20120530222758900_28,2013-03-16T00:12:03.571Z,"South Island of New Zealand",earthquake
2012-05-30T22:00:48.610Z,30.123,108.128,10,4.1,mb,17,67.3,,0.37,pde,pde20120530220048610_10,2013-03-16T00:12:03.568Z,"Chongqing-Hubei border region, China",earthquake
2012-05-30T21:59:02.380Z,-10.216,-74.516,19.2,4.8,mb,94,76.1,,0.93,pde,pde20120530215902380_19,2013-03-16T00:12:03.559Z,"central Peru",earthquake
2012-05-30T21:24:25.750Z,19.379,-108.81,10,4.6,mb,163,180.4,,1.07,pde,pde20120530212425750_10,2014-09-04T16:46:54.000Z,"Revilla Gigedo Islands region",earthquake
2012-05-30T21:22:32.830Z,54.739,161.392,49.8,5.2,mb,349,96.3,,0.76,pde,pde20120530212232830_49,2014-09-04T16:46:53.000Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake
2012-05-30T21:20:56.160Z,43.384,78.745,17.2,5.4,mww,403,13.1,,0.87,pde,pde20120530212056160_17,2014-09-04T16:46:52.000Z,"eastern Kazakhstan",earthquake
2012-05-30T20:46:11.290Z,18.844,-64.955,15.4,3,md,9,204.3,,,pde,pde20120530204611290_15,2013-03-16T00:12:03.429Z,"Virgin Islands region",earthquake
2012-05-30T20:42:06.520Z,59.772,-153.439,136.3,2.8,ml,42,106.1,,,pde,pde20120530204206520_136,2013-03-16T00:12:03.425Z,"Southern Alaska",earthquake
2012-05-30T20:12:47.690Z,2.303,96.311,40.7,4.6,mb,36,92,,0.69,pde,pde20120530201247690_40,2013-03-16T00:12:03.422Z,"Simeulue, Indonesia",earthquake
2012-05-30T20:11:13.840Z,60.237,-152.71,107.4,3.1,ml,66,85.3,,,pde,pde20120530201113840_107,2013-03-16T00:12:03.416Z,"Southern Alaska",earthquake
2012-05-30T19:32:36.060Z,19.404,-108.873,10,4.5,mb,38,156,,1.12,pde,pde20120530193236060_10,2014-09-04T16:46:51.000Z,"Revilla Gigedo Islands region",earthquake
2012-05-30T18:26:28.590Z,18.98,-65.047,33.1,3.6,md,17,202.1,,,pde,pde20120530182628590_33,2013-03-16T00:12:03.407Z,"Virgin Islands region",earthquake
2012-05-30T18:20:28.850Z,-15.179,-173.189,10,4.2,mb,16,129.8,,1,pde,pde20120530182028850_10,2013-03-16T00:12:03.383Z,"Tonga",earthquake
2012-05-30T17:32:17.910Z,18.627,146.603,10,4.3,mb,17,144.8,,1.36,pde,pde20120530173217910_10,2013-03-16T00:12:03.381Z,"Pagan region, Northern Mariana Islands",earthquake
2012-05-30T17:21:18.250Z,3.352,88.292,10,4.8,mb,24,142.3,,0.9,pde,pde20120530172118250_10,2013-03-16T00:12:03.348Z,"North Indian Ocean",earthquake
2012-05-30T16:48:35.510Z,0.533,126.363,53.8,4.4,mb,40,59.5,,1.03,pde,pde20120530164835510_53,2013-03-16T00:12:03.286Z,"Molucca Sea",earthquake
2012-05-30T16:30:55.830Z,38.831,142.173,58.4,4.5,mb,15,175.6,,0.95,pde,pde20120530163055830_58,2013-03-16T00:12:03.282Z,"near the east coast of Honshu, Japan",earthquake
2012-05-30T15:45:27.860Z,10.171,125.52,145.6,4.4,mb,13,180.1,,1.18,pde,pde20120530154527860_145,2013-03-16T00:12:03.236Z,"Leyte, Philippines",earthquake
2012-05-30T15:44:58.420Z,51.502,-177.137,46.3,2.9,ml,14,217.2,,,pde,pde20120530154458420_46,2013-03-16T00:12:03.234Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-05-30T15:28:35.100Z,14.614,-94.313,16.1,4.2,md,4,252.3,,,pde,pde20120530152835100_16,2013-03-16T00:12:03.233Z,"off the coast of Chiapas, Mexico",earthquake
2012-05-30T15:22:12.830Z,51.627,178.789,91.7,3,ml,12,208.8,,,pde,pde20120530152212830_91,2013-03-16T00:12:03.230Z,"Rat Islands, Aleutian Islands, Alaska",earthquake
2012-05-30T15:07:22.000Z,14.542,-94.41,16.1,4.1,md,4,255.4,,,pde,pde20120530150722000_16,2013-03-16T00:12:03.228Z,"off the coast of Chiapas, Mexico",earthquake
2012-05-30T14:07:49.830Z,-36.193,-100.953,10,4.5,mb,24,78.4,,1.3,pde,pde20120530140749830_10,2014-09-04T16:46:50.000Z,"southeast of Easter Island",earthquake
2012-05-30T13:56:14.700Z,11.271,139.559,50.5,5,mb,144,36.4,,0.96,pde,pde20120530135614700_50,2014-09-04T16:46:48.000Z,"State of Yap, Federated States of Micronesia",earthquake
2012-05-30T13:36:39.290Z,19.268,-155.198,10.2,3.1,ml,30,187.1,,,pde,pde20120530133639290_10,2013-03-16T00:12:03.194Z,"Hawaii region, Hawaii",earthquake
2012-05-30T13:23:01.490Z,8.217,91.782,16.2,4.9,mb,94,43.7,,0.83,pde,pde20120530132301490_16,2013-03-16T00:12:03.184Z,"Nicobar Islands, India region",earthquake
2012-05-30T09:28:14.190Z,24.517,95.085,108.7,4.5,mb,45,66.2,,0.96,pde,pde20120530092814190_108,2013-03-16T00:12:03.179Z,"Myanmar",earthquake
2012-05-30T08:18:13.170Z,60.046,-148.37,10.5,3.2,ml,69,99.2,,,pde,pde20120530081813170_10,2013-03-16T00:12:03.170Z,"Kenai Peninsula, Alaska",earthquake
2012-05-30T08:01:10.040Z,51.565,-175.194,27.2,3.8,ml,25,188.9,,,pde,pde20120530080110040_27,2013-03-16T00:12:03.167Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-05-30T07:58:23.170Z,43.501,39.449,10,4.1,mb,61,38,,0.96,pde,pde20120530075823170_10,2013-03-16T00:12:03.161Z,"Caucasus region, Russia",earthquake
2012-05-30T07:25:43.260Z,23.114,121.391,10,4.4,mb,50,101.8,,0.97,pde,pde20120530072543260_10,2013-03-16T00:12:03.117Z,"Taiwan",earthquake
2012-05-30T07:12:03.990Z,60.054,-153.119,125.3,2.5,ml,43,96.5,,,pde,pde20120530071203990_125,2013-03-16T00:12:03.110Z,"Southern Alaska",earthquake
2012-05-30T06:57:05.990Z,-6.199,130.318,144.9,5,mb,104,35.7,,0.85,pde,pde20120530065705990_144,2013-03-16T00:12:03.099Z,"Banda Sea",earthquake
2012-05-30T06:55:41.300Z,28.487,52.092,10,4.8,mb,133,73.8,,,pde,pde20120530065541300_10,2013-03-16T00:12:03.087Z,"southern Iran",earthquake
2012-05-30T06:21:39.000Z,19.299,-155.212,10.7,3.3,ml,30,199.8,,,pde,pde20120530062139000_10,2014-04-09T05:48:15.302Z,"Hawaii region, Hawaii",earthquake
2012-05-30T06:00:33.000Z,44.931,10.937,5,4.3,mb,88,33.8,,,pde,pde20120530060033000_5,2013-03-16T00:12:03.029Z,"northern Italy",earthquake
2012-05-30T05:14:00.790Z,33.692,-119.058,16.4,4,ml,160,103.4,,,pde,pde20120530051400790_16,2013-12-13T22:52:39.467Z,"Channel Islands region, California",earthquake
2012-05-30T04:43:17.870Z,-8.233,107.588,67.3,4.3,mb,34,112.4,,0.85,pde,pde20120530044317870_67,2013-03-16T00:12:02.977Z,"Java, Indonesia",earthquake
2012-05-30T03:28:54.980Z,18.141,-67.855,102,3,md,7,324.6,,,pde,pde20120530032854980_102,2013-03-16T00:12:02.944Z,"Mona Passage, Puerto Rico",earthquake
2012-05-30T02:56:31.870Z,54.482,-161.518,17.1,2.7,ml,8,247.5,,,pde,pde20120530025631870_17,2013-03-16T00:12:02.931Z,"Alaska Peninsula",earthquake
2012-05-30T02:16:59.390Z,-38.453,175.821,180.8,4,ml,72,96.9,,,pde,pde20120530021659390_180,2013-03-16T00:12:02.897Z,"North Island of New Zealand",earthquake
2012-05-30T01:54:30.620Z,27.328,87.974,35.4,4.3,mb,54,145.6,,0.84,pde,pde20120530015430620_35,2013-03-16T00:12:02.862Z,"Nepal",earthquake
2012-05-30T01:49:25.860Z,61.445,-151.21,65,3.5,ml,90,42.6,,,pde,pde20120530014925860_65,2014-04-08T21:00:31.176Z,"Southern Alaska",earthquake
2012-05-30T00:57:50.540Z,5.279,-73.71,156.3,4.2,mb,66,58.4,,0.88,pde,pde20120530005750540_156,2014-04-10T04:07:08.142Z,"Colombia",earthquake
2012-05-30T00:38:49.390Z,52.17,-173.579,7.4,2.9,ml,13,188.5,,,pde,pde20120530003849390_7,2013-03-16T00:12:02.832Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-05-30T00:19:11.520Z,39.084,-123.141,6.1,2.4,md,32,35.4,,,pde,pde20120530001911520_6,2014-04-09T10:58:45.520Z,"Northern California",earthquake
2012-05-29T23:54:30.960Z,1.895,89.47,10,4.3,mb,21,159.8,,0.58,pde,pde20120529235430960_10,2013-03-16T00:12:02.820Z,"North Indian Ocean",earthquake
2012-05-29T23:38:26.600Z,15.985,-98.408,20,4.1,md,4,205.7,,,pde,pde20120529233826600_20,2013-03-16T00:12:02.819Z,"offshore Oaxaca, Mexico",earthquake
2012-05-29T22:47:51.510Z,-11.511,125.161,10,4.3,mb,43,70.2,,1.39,pde,pde20120529224751510_10,2013-03-16T00:12:02.814Z,"Timor Sea",earthquake
2012-05-29T22:44:23.280Z,15.896,-98.404,5,4.3,mb,87,191.5,,,pde,pde20120529224423280_5,2014-04-10T04:07:05.892Z,"offshore Oaxaca, Mexico",earthquake
2012-05-29T21:28:07.480Z,18.913,-65.4,80.4,3.2,md,7,254.7,,,pde,pde20120529212807480_80,2013-03-16T00:12:02.804Z,"Puerto Rico region",earthquake
2012-05-29T20:08:15.070Z,-15.524,173.796,55.5,5,mb,28,58.9,,1.49,pde,pde20120529200815070_55,2013-03-16T00:12:02.801Z,"Fiji region",earthquake
2012-05-29T18:28:01.000Z,44.921,10.947,2.7,4.4,mb,138,21.9,,,pde,pde20120529182801000_2,2014-04-10T04:07:03.385Z,"northern Italy",earthquake
2012-05-29T18:17:33.290Z,0.262,92.227,14.3,4.8,mb,30,178.1,,0.75,pde,pde20120529181733290_14,2013-03-16T00:12:02.784Z,"off the west coast of northern Sumatra",earthquake
2012-05-29T18:15:34.000Z,32.915,-115.577,9.8,2.6,ml,19,161,,,pde,pde20120529181534000_9,2014-04-09T04:35:38.522Z,"Southern California",earthquake
2012-05-29T17:59:24.270Z,18.14,-68.154,77.7,3.3,md,20,182,,,pde,pde20120529175924270_77,2013-03-16T00:12:02.778Z,"Mona Passage, Dominican Republic",earthquake
2012-05-29T17:58:12.000Z,53.632,-165.657,47.2,2.9,ml,19,197.8,,,pde,pde20120529175812000_47,2013-03-16T00:12:02.775Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2012-05-29T17:49:11.000Z,55.298,-160.784,71.9,2.5,ml,7,175,,,pde,pde20120529174911000_71,2013-03-16T00:12:02.773Z,"Alaska Peninsula",earthquake
2012-05-29T17:45:46.330Z,-22.049,-175.904,136.5,4.5,mb,14,153.6,,1.58,pde,pde20120529174546330_136,2013-03-16T00:12:02.771Z,"Tonga region",earthquake
2012-05-29T16:44:39.920Z,-2.26,133.508,35,4,mb,11,210.9,,1.12,pde,pde20120529164439920_35,2013-03-16T00:12:02.766Z,"Papua, Indonesia",earthquake
2012-05-29T16:37:25.640Z,51.175,-179.454,42.3,4.9,mb,364,105.5,,,pde,pde20120529163725640_42,2014-09-04T16:46:47.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2012-05-29T16:13:45.750Z,-55.894,-28.114,133.4,4.5,mb,19,70.9,,0.64,pde,pde20120529161345750_133,2013-03-16T00:12:02.728Z,"South Sandwich Islands region",earthquake
2012-05-29T15:52:59.470Z,42.377,143.105,57.7,4.7,mb,71,118.5,,0.83,pde,pde20120529155259470_57,2013-03-16T00:12:02.689Z,"Hokkaido, Japan region",earthquake
