time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2011-07-31T23:56:36.430Z,0.028,99.215,79.4,5.1,mb,112,28.7,,0.92,pde,pde20110731235636430_79,2014-04-10T08:22:52.741Z,"northern Sumatra, Indonesia",earthquake
2011-07-31T23:38:56.610Z,-3.518,144.828,10,6.6,mww,229,16.6,,0.96,pde,pde20110731233856610_10,2014-11-13T10:25:47.103Z,"near the north coast of New Guinea, Papua New Guinea",earthquake
2011-07-31T23:17:55.650Z,2.572,99.195,172.2,4.5,mb,47,35.5,,0.89,pde,pde20110731231755650_172,2013-03-16T00:04:16.132Z,"northern Sumatra, Indonesia",earthquake
2011-07-31T22:48:09.560Z,18.912,-67.89,59.7,2.6,md,6,206,,,pde,pde20110731224809560_59,2013-03-16T00:04:16.130Z,"Mona Passage",earthquake
2011-07-31T22:36:48.490Z,3.693,126.682,77.4,4.6,mb,53,105.5,,1.07,pde,pde20110731223648490_77,2013-03-16T00:04:16.120Z,"Kepulauan Talaud, Indonesia",earthquake
2011-07-31T22:18:54.980Z,18.972,-67.544,93.2,3.4,md,10,209,,,pde,pde20110731221854980_93,2013-03-16T00:04:16.117Z,"Puerto Rico region",earthquake
2011-07-31T21:40:34.660Z,18.46,-66.306,98.2,2.7,md,8,199.4,,,pde,pde20110731214034660_98,2013-03-16T00:04:16.114Z,"Puerto Rico",earthquake
2011-07-31T19:33:50.280Z,38.799,142.23,49.8,4.6,mb,151,75.7,,0.78,pde,pde20110731193350280_49,2013-03-16T00:04:16.090Z,"near the east coast of Honshu, Japan",earthquake
2011-07-31T19:28:59.160Z,14.933,147.106,35,4.2,mb,17,173.5,,0.86,pde,pde20110731192859160_35,2013-03-16T00:04:16.085Z,"Mariana Islands region",earthquake
2011-07-31T18:30:59.520Z,19.115,-67.931,34.7,2.7,md,6,335.2,,,pde,pde20110731183059520_34,2013-03-16T00:04:16.082Z,"Mona Passage",earthquake
2011-07-31T18:29:40.550Z,19.116,-67.828,37.1,3,md,7,326.7,,,pde,pde20110731182940550_37,2013-03-16T00:04:16.078Z,"Mona Passage",earthquake
2011-07-31T18:29:37.540Z,27.069,143.359,10,4.7,mb,92,105.4,,0.74,pde,pde20110731182937540_10,2013-03-16T00:04:16.063Z,"Bonin Islands, Japan region",earthquake
2011-07-31T18:07:02.200Z,59.239,-150.114,10.7,2.7,ml,63,145,,,pde,pde20110731180702200_10,2013-03-16T00:04:16.051Z,"Kenai Peninsula, Alaska",earthquake
2011-07-31T17:36:30.210Z,-27.771,-66.571,170.1,5.3,mb,263,36.4,,1.08,pde,pde20110731173630210_170,2014-09-04T16:25:16.000Z,"Catamarca, Argentina",earthquake
2011-07-31T17:35:57.870Z,41.795,142.826,32.4,5.5,mb,343,56.5,,0.85,pde,pde20110731173557870_32,2014-04-10T08:22:34.677Z,"Hokkaido, Japan region",earthquake
2011-07-31T17:32:22.680Z,36.72,140.98,24.9,4.5,mb,34,120,,1.06,pde,pde20110731173222680_24,2013-03-16T00:04:15.623Z,"near the east coast of Honshu, Japan",earthquake
2011-07-31T17:10:34.390Z,18.949,-67.714,21.6,3.3,md,10,312.8,,,pde,pde20110731171034390_21,2013-03-16T00:04:15.618Z,"Puerto Rico region",earthquake
2011-07-31T16:46:52.160Z,54.688,-161.269,25.8,2.6,ml,7,238.3,,,pde,pde20110731164652160_25,2013-03-16T00:04:15.616Z,"Alaska Peninsula",earthquake
2011-07-31T16:45:42.670Z,18.903,-67.65,15,2.8,md,6,320.9,,,pde,pde20110731164542670_15,2013-03-16T00:04:15.613Z,"Puerto Rico region",earthquake
2011-07-31T14:34:47.320Z,-17.016,171.579,10,6.1,mww,437,15.8,,0.88,pde,pde20110731143447320_10,2014-09-04T16:25:14.000Z,"Vanuatu region",earthquake
