time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2011-11-30T22:46:39.640Z,54.521,-163.967,86.4,2.6,m,14,181.4,,,pde,pde20111130224639640_86,2013-03-16T00:07:19.723Z,"Unimak Island region, Alaska",earthquake
2011-11-30T22:40:42.680Z,-61.163,153.271,10,5,mb,33,96.4,,1.11,pde,pde20111130224042680_10,2014-09-04T15:58:11.000Z,"Balleny Islands region",earthquake
2011-11-30T21:14:16.640Z,-60.383,151.266,10,4.5,mb,13,138.4,,1.12,pde,pde20111130211416640_10,2013-03-16T00:07:19.602Z,"west of Macquarie Island",earthquake
2011-11-30T20:30:05.350Z,-29.667,-176.863,10,4.8,mb,15,243.2,,0.66,pde,pde20111130203005350_10,2013-03-16T00:07:19.581Z,"Kermadec Islands region",earthquake
2011-11-30T19:49:04.260Z,7.839,93.97,23.6,5.1,mb,103,64.4,,0.97,pde,pde20111130194904260_23,2013-03-16T00:07:19.527Z,"Nicobar Islands, India region",earthquake
2011-11-30T19:42:34.430Z,7.802,93.858,17,5.6,mww,317,21.4,,1.1,pde,pde20111130194234430_17,2014-09-04T15:58:08.000Z,"Nicobar Islands, India region",earthquake
2011-11-30T18:59:29.500Z,19.063,-66.753,30.9,3,md,16,202.6,,,pde,pde20111130185929500_30,2013-03-16T00:07:19.379Z,"Puerto Rico region",earthquake
2011-11-30T18:06:03.000Z,19.09,-104.15,6,4,md,22,159.8,,,pde,pde20111130180603000_6,2013-03-16T00:07:19.376Z,"Colima, Mexico",earthquake
2011-11-30T17:45:19.620Z,37.033,142.075,15.2,4.5,mb,43,119.1,,1.02,pde,pde20111130174519620_15,2013-03-16T00:07:19.372Z,"off the east coast of Honshu, Japan",earthquake
2011-11-30T16:52:47.890Z,19.08,-66.799,42.3,3.1,md,7,266.4,,,pde,pde20111130165247890_42,2013-03-16T00:07:19.370Z,"Puerto Rico region",earthquake
2011-11-30T16:32:04.260Z,1.41,128.325,94.5,4.7,mb,44,131.9,,0.78,pde,pde20111130163204260_94,2013-03-16T00:07:19.366Z,"Halmahera, Indonesia",earthquake
2011-11-30T16:10:52.300Z,17.187,-94.728,127.9,4,md,5,197.7,,,pde,pde20111130161052300_127,2013-03-16T00:07:19.364Z,"Oaxaca, Mexico",earthquake
2011-11-30T15:35:08.960Z,39.61,143.553,29.6,4.9,mb,24,156.2,,0.52,pde,pde20111130153508960_29,2013-03-16T00:07:19.359Z,"off the east coast of Honshu, Japan",earthquake
2011-11-30T15:02:38.040Z,33.984,25.681,25,4.2,mb,59,116.1,,0.96,pde,pde20111130150238040_25,2013-03-16T00:07:19.354Z,"eastern Mediterranean Sea",earthquake
2011-11-30T14:57:44.670Z,-22.17,-176.73,171.8,5.6,mwc,228,24.5,,1.01,pde,pde20111130145744670_171,2014-09-04T15:58:06.000Z,"south of the Fiji Islands",earthquake
2011-11-30T14:26:39.090Z,15.436,119.19,10,4.5,mb,24,122.3,,1.05,pde,pde20111130142639090_10,2013-03-16T00:07:19.306Z,"Luzon, Philippines",earthquake
2011-11-30T13:59:33.460Z,15.361,119.244,10,4.6,mb,20,112.8,,1.48,pde,pde20111130135933460_10,2013-03-16T00:07:19.303Z,"Luzon, Philippines",earthquake
