time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2011-01-31T23:55:29.000Z,-23.806,-68.381,154.8,4.6,mb,60,112.2,,,pde,pde20110131235529000_154,2013-03-16T01:52:15.450Z,"Antofagasta, Chile",earthquake
2011-01-31T22:44:29.020Z,24.228,122.29,62.7,4.3,mb,29,51.5,,1.04,pde,pde20110131224429020_62,2013-03-16T01:52:15.447Z,"Taiwan region",earthquake
2011-01-31T21:45:05.080Z,17.03,-95.276,118.6,4,mb,9,89.2,,,pde,pde20110131214505080_118,2013-03-16T01:52:15.445Z,"Oaxaca, Mexico",earthquake
2011-01-31T20:53:14.190Z,24.148,121.897,12.1,4.5,mb,42,76.3,,1.1,pde,pde20110131205314190_12,2013-03-16T01:52:15.441Z,"Taiwan",earthquake
2011-01-31T20:36:48.420Z,57.9,-156.156,136.3,2.9,m,40,53.9,,,pde,pde20110131203648420_136,2013-03-16T01:52:15.437Z,"Alaska Peninsula",earthquake
2011-01-31T20:18:59.400Z,61.578,-141.282,15.3,3,ml,33,40.9,,,pde,pde20110131201859400_15,2013-03-16T01:52:15.434Z,"Southern Alaska",earthquake
2011-01-31T18:44:55.350Z,60.09,-140.738,14,2.9,ml,36,135.2,,,pde,pde20110131184455350_14,2013-03-16T01:52:15.430Z,"Southern Yukon Territory, Canada",earthquake
2011-01-31T18:29:21.000Z,-3.453,101.63,62.8,4.8,mb,51,89.4,,0.9,pde,pde20110131182921000_62,2013-03-16T01:52:15.425Z,"southern Sumatra, Indonesia",earthquake
2011-01-31T18:17:46.820Z,61.546,-141.308,18.6,2.9,ml,28,92.6,,,pde,pde20110131181746820_18,2013-03-16T01:52:15.422Z,"Southern Alaska",earthquake
2011-01-31T17:53:57.630Z,58.099,-139.37,10,3.3,ml,25,236.5,,,pde,pde20110131175357630_10,2013-03-16T01:52:15.394Z,"off the coast of Southeastern Alaska",earthquake
2011-01-31T17:46:29.720Z,32.669,-115.847,8.4,3.7,md,13,74.5,,,pde,pde20110131174629720_8,2013-03-16T01:52:15.391Z,"Southern California",earthquake
2011-01-31T17:32:28.810Z,31.812,131.88,44.5,4.2,mb,23,124.5,,0.93,pde,pde20110131173228810_44,2013-03-16T01:52:15.361Z,"Kyushu, Japan",earthquake
2011-01-31T17:04:34.010Z,61.559,-141.301,19,2.6,ml,31,49.8,,,pde,pde20110131170434010_19,2013-03-16T01:52:15.313Z,"Southern Alaska",earthquake
2011-01-31T16:47:16.530Z,-9.237,110.635,49.8,4.1,mb,13,168.1,,1.06,pde,pde20110131164716530_49,2013-03-16T01:52:15.268Z,"south of Java, Indonesia",earthquake
2011-01-31T16:45:44.420Z,60.104,-140.705,11.9,3.8,ml,82,116.2,,,pde,pde20110131164544420_11,2013-03-16T01:52:15.228Z,"Southern Yukon Territory, Canada",earthquake
2011-01-31T15:53:19.830Z,58.176,-139.395,1,2.6,ml,8,284.1,,,pde,pde20110131155319830_1,2013-03-16T01:52:15.193Z,"off the coast of Southeastern Alaska",earthquake
2011-01-31T14:46:34.280Z,22.136,145.464,49.3,5.2,mb,229,58.4,,0.77,pde,pde20110131144634280_49,2013-03-16T01:52:15.123Z,"Volcano Islands, Japan region",earthquake
2011-01-31T11:22:07.610Z,52.102,179.814,195.5,2.7,m,16,184.9,,,pde,pde20110131112207610_195,2013-03-16T01:52:15.120Z,"Rat Islands, Aleutian Islands, Alaska",earthquake
2011-01-31T11:11:55.010Z,63.501,-150.855,10.3,2.6,ml,39,39.1,,,pde,pde20110131111155010_10,2013-03-16T01:52:15.117Z,"Central Alaska",earthquake
2011-01-31T10:52:19.960Z,-39.045,174.851,212,4.4,m,82,95,,,pde,pde20110131105219960_212,2013-03-16T01:52:15.111Z,"North Island of New Zealand",earthquake
2011-01-31T10:51:44.140Z,50.229,-176.221,25.2,2.6,ml,14,293,,,pde,pde20110131105144140_25,2013-03-16T01:52:15.109Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2011-01-31T10:14:26.640Z,37.844,-121.778,14.9,2.7,md,5,140.5,,,pde,pde20110131101426640_14,2014-04-09T10:01:37.698Z,"San Francisco Bay area, California",earthquake
2011-01-31T09:54:59.530Z,61.564,-141.301,16.1,2.8,ml,29,61.2,,,pde,pde20110131095459530_16,2013-03-16T01:52:15.104Z,"Southern Alaska",earthquake
2011-01-31T09:00:19.370Z,63.273,-149.165,83.4,2.8,m,48,21.6,,,pde,pde20110131090019370_83,2013-03-16T01:52:15.099Z,"Central Alaska",earthquake
2011-01-31T08:31:19.860Z,37.978,-122.054,15.4,2.9,md,5,150.7,,,pde,pde20110131083119860_15,2014-04-09T10:01:33.279Z,"San Francisco Bay area, California",earthquake
2011-01-31T08:06:14.000Z,45.052,-67.105,7.3,2.6,mblg,12,133.5,,,pde,pde20110131080614000_7,2013-03-16T01:52:15.093Z,"Maine",earthquake
2011-01-31T07:45:07.890Z,26.955,143.734,10,4.3,mb,23,114.8,,1.17,pde,pde20110131074507890_10,2013-03-16T01:52:15.090Z,"Bonin Islands, Japan region",earthquake
2011-01-31T07:42:23.340Z,52.547,-169.022,6.1,2.9,ml,13,217.3,,,pde,pde20110131074223340_6,2013-03-16T01:52:15.088Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-01-31T07:13:42.600Z,3.941,-76.395,97.5,4.9,mb,253,53.3,,0.92,pde,pde20110131071342600_97,2014-04-10T03:35:25.464Z,"Colombia",earthquake
2011-01-31T07:00:21.820Z,62.026,-150.348,52.5,2.5,ml,12,98.8,,,pde,pde20110131070021820_52,2013-03-16T01:52:15.066Z,"Central Alaska",earthquake
2011-01-31T06:56:59.800Z,14.385,-94.403,15.8,4,md,5,261.2,,,pde,pde20110131065659800_15,2013-03-16T01:52:15.065Z,"off the coast of Chiapas, Mexico",earthquake
2011-01-31T06:47:13.600Z,40.306,-124.548,18.7,3.2,ml,7,266,,,pde,pde20110131064713600_18,2014-04-09T10:01:28.901Z,"offshore Northern California",earthquake
2011-01-31T06:03:27.300Z,-22.009,-175.622,76,6,mww,437,29.4,,0.92,pde,pde20110131060327300_76,2014-09-04T16:10:24.000Z,"Tonga region",earthquake
2011-01-31T04:54:44.800Z,32.284,-115.317,5,2.8,ml,4,191.3,,,pde,pde20110131045444800_5,2013-03-16T01:52:15.010Z,"Baja California, Mexico",earthquake
2011-01-31T04:12:17.950Z,50.947,-176.726,37.2,2.9,ml,20,230.9,,,pde,pde20110131041217950_37,2013-03-16T01:52:15.008Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2011-01-31T04:11:51.460Z,36.056,70.533,71.5,4.1,mb,24,144,,1.39,pde,pde20110131041151460_71,2013-03-16T01:52:15.005Z,"Hindu Kush region, Afghanistan",earthquake
2011-01-31T03:55:37.520Z,18.629,-63.839,92.6,3.4,md,13,215.7,,,pde,pde20110131035537520_92,2013-03-16T01:52:15.003Z,"Virgin Islands region",earthquake
2011-01-31T03:50:28.910Z,13.14,-89.155,72.4,4.2,mb,24,168,,1.41,pde,pde20110131035028910_72,2014-04-10T03:35:21.162Z,"offshore El Salvador",earthquake
2011-01-31T03:43:03.920Z,-37.451,51.791,10,4.5,mb,23,75.7,,1.18,pde,pde20110131034303920_10,2013-03-16T01:52:14.998Z,"South Indian Ocean",earthquake
2011-01-31T03:25:47.460Z,61.593,-149.638,38.6,2.7,ml,54,30.8,,,pde,pde20110131032547460_38,2013-03-16T01:52:14.965Z,"Southern Alaska",earthquake
2011-01-31T03:19:58.300Z,32.143,-115.16,6,3.3,ml,13,98.7,,,pde,pde20110131031958300_6,2013-03-16T01:52:14.963Z,"Baja California, Mexico",earthquake
2011-01-31T03:03:25.970Z,63.498,-150.794,12.9,2.6,ml,35,37.6,,,pde,pde20110131030325970_12,2013-03-16T01:52:14.958Z,"Central Alaska",earthquake
2011-01-31T03:01:54.090Z,-19.151,168.367,10,4,mb,15,98.4,,1.37,pde,pde20110131030154090_10,2013-03-16T01:52:14.956Z,"Vanuatu",earthquake
2011-01-31T02:50:46.670Z,8.45,141.096,35,4.3,mb,27,94.9,,0.92,pde,pde20110131025046670_35,2013-03-16T01:52:14.954Z,"State of Yap, Federated States of Micronesia",earthquake
2011-01-31T02:39:23.260Z,18.564,-72.699,10,3.2,ml,5,180.4,,0.79,pde,pde20110131023923260_10,2013-03-16T01:52:14.952Z,"Haiti region",earthquake
2011-01-31T01:54:36.890Z,67.371,-168.992,10,3,ml,7,243.9,,,pde,pde20110131015436890_10,2013-03-16T01:52:14.951Z,"Bering Strait",earthquake
2011-01-31T01:13:59.900Z,-15.294,-173.311,10,4.1,mb,13,123.9,,0.72,pde,pde20110131011359900_10,2013-03-16T01:52:14.949Z,"Tonga",earthquake
2011-01-31T01:00:39.830Z,-38.911,178.015,28.5,4.1,ml,42,122.2,,,pde,pde20110131010039830_28,2013-03-16T01:52:14.945Z,"off the east coast of the North Island of New Zealand",earthquake
2011-01-31T00:55:50.090Z,52.598,-174.467,190,2.8,m,21,133.4,,,pde,pde20110131005550090_190,2013-03-16T01:52:14.943Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2011-01-31T00:49:11.700Z,32.131,-115.198,4,3.5,md,9,97.6,,,pde,pde20110131004911700_4,2013-03-16T01:52:14.941Z,"Baja California, Mexico",earthquake
2011-01-31T00:46:39.860Z,27.089,143.89,10,4.1,mb,28,125.1,,0.63,pde,pde20110131004639860_10,2013-03-16T01:52:14.938Z,"Bonin Islands, Japan region",earthquake
2011-01-31T00:33:13.620Z,52.691,-169.373,14.3,3,ml,14,339.1,,,pde,pde20110131003313620_14,2013-03-16T01:52:14.936Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-01-31T00:21:44.020Z,-29.809,-177.3,23.4,4.4,mb,19,135,,1.06,pde,pde20110131002144020_23,2013-03-16T01:52:14.934Z,"Kermadec Islands, New Zealand",earthquake
2011-01-30T23:53:28.850Z,-38.931,177.994,27.1,4.2,ml,85,167.7,,,pde,pde20110130235328850_27,2013-03-16T01:52:14.925Z,"North Island of New Zealand",earthquake
2011-01-30T23:39:31.260Z,-38.934,178.061,25.6,4.2,ml,78,173.8,,,pde,pde20110130233931260_25,2013-03-16T01:52:14.918Z,"off the east coast of the North Island of New Zealand",earthquake
2011-01-30T22:50:20.420Z,58.586,-150.738,27.1,2.5,ml,26,151.3,,,pde,pde20110130225020420_27,2013-03-16T01:52:14.915Z,"Gulf of Alaska",earthquake
2011-01-30T22:24:14.160Z,37.837,-121.785,14.6,2.5,md,6,146.8,,,pde,pde20110130222414160_14,2014-04-09T10:01:24.624Z,"San Francisco Bay area, California",earthquake
2011-01-30T21:55:05.450Z,14.936,119.808,38.1,4.3,mb,30,133.8,,1.22,pde,pde20110130215505450_38,2013-03-16T01:52:14.906Z,"Luzon, Philippines",earthquake
2011-01-30T21:48:28.000Z,-29.881,-71.503,50,4.8,mb,138,97.7,,,pde,pde20110130214828000_50,2014-04-10T03:35:17.751Z,"offshore Coquimbo, Chile",earthquake
2011-01-30T19:51:51.110Z,-37.537,51.66,10,4.8,mb,38,63.8,,1.15,pde,pde20110130195151110_10,2013-03-16T01:52:14.856Z,"South Indian Ocean",earthquake
2011-01-30T18:58:13.900Z,27.115,53.372,28.5,4.8,mb,88,58.5,,,pde,pde20110130185813900_28,2013-03-16T01:52:14.846Z,"southern Iran",earthquake
2011-01-30T18:54:19.700Z,27.115,53.364,12.3,4.3,mb,44,80.3,,,pde,pde20110130185419700_12,2013-03-16T01:52:14.842Z,"southern Iran",earthquake
2011-01-30T18:42:51.410Z,26.98,143.716,10,4,mb,16,129.8,,0.76,pde,pde20110130184251410_10,2013-03-16T01:52:14.840Z,"Bonin Islands, Japan region",earthquake
2011-01-30T18:34:16.300Z,26.973,143.684,10,4.9,mwc,251,32,,0.79,pde,pde20110130183416300_10,2014-09-04T16:10:22.000Z,"Bonin Islands, Japan region",earthquake
2011-01-30T18:29:19.650Z,25.032,60.75,10,4.1,mb,16,182.2,,0.99,pde,pde20110130182919650_10,2013-03-16T01:52:14.812Z,"near the coast of southeastern Iran",earthquake
2011-01-30T18:27:38.520Z,-14.969,167.223,100.5,5.2,mwc,64,58.8,,1.11,pde,pde20110130182738520_100,2014-09-04T16:10:21.000Z,"Vanuatu",earthquake
2011-01-30T18:19:23.290Z,60.605,-152.05,80.6,4.2,mwr,268,22.8,,,pde,pde20110130181923290_80,2014-04-08T20:50:52.546Z,"Southern Alaska",earthquake
2011-01-30T18:04:36.690Z,26.979,143.65,10,4.7,mb,102,76.8,,1.02,pde,pde20110130180436690_10,2013-03-16T01:52:14.716Z,"Bonin Islands, Japan region",earthquake
2011-01-30T17:56:10.300Z,28.21,59.11,16,4.1,mb,47,67.4,,,pde,pde20110130175610300_16,2013-03-16T01:52:14.712Z,"southeastern Iran",earthquake
2011-01-30T17:49:17.560Z,-38.905,177.994,27,3.8,ml,26,173.6,,,pde,pde20110130174917560_27,2013-03-16T01:52:14.709Z,"North Island of New Zealand",earthquake
2011-01-30T17:42:46.280Z,-5.435,152.197,35,4.1,mb,12,103.2,,1.13,pde,pde20110130174246280_35,2013-03-16T01:52:14.708Z,"New Britain region, Papua New Guinea",earthquake
2011-01-30T17:25:29.300Z,32.277,-115.32,6,3.2,ml,7,87.9,,,pde,pde20110130172529300_6,2013-03-16T01:52:14.706Z,"Baja California, Mexico",earthquake
2011-01-30T17:25:22.040Z,-37.753,51.127,10,4.3,mb,9,168.7,,0.32,pde,pde20110130172522040_10,2013-03-16T01:52:14.667Z,"South Indian Ocean",earthquake
2011-01-30T17:05:42.800Z,-2.746,100.302,35,4.8,mb,66,123.5,,1.21,pde,pde20110130170542800_35,2013-03-16T01:52:14.661Z,"Kepulauan Mentawai region, Indonesia",earthquake
2011-01-30T16:41:22.970Z,0.508,128.627,17,5,mwc,77,37.5,,0.99,pde,pde20110130164122970_17,2014-09-04T16:10:20.000Z,"Halmahera, Indonesia",earthquake
2011-01-30T16:37:35.740Z,-7.142,117.209,600.6,4.3,mb,23,98.2,,0.97,pde,pde20110130163735740_600,2013-03-16T01:52:14.649Z,"Bali Sea",earthquake
2011-01-30T16:20:42.050Z,-6.555,101.61,35,4.3,mb,16,202.3,,0.92,pde,pde20110130162042050_35,2013-03-16T01:52:14.647Z,"southwest of Sumatra, Indonesia",earthquake
2011-01-30T16:03:14.520Z,-18.948,169.245,230.8,4.5,mb,52,113.1,,1.07,pde,pde20110130160314520_230,2013-03-16T01:52:14.642Z,"Vanuatu",earthquake
2011-01-30T15:49:46.690Z,4.798,96.226,44.4,4.4,mb,47,68.2,,1.29,pde,pde20110130154946690_44,2013-03-16T01:52:14.625Z,"northern Sumatra, Indonesia",earthquake
2011-01-30T15:26:16.650Z,19.914,120.746,4.4,4.2,mb,15,134,,1.06,pde,pde20110130152616650_4,2013-03-16T01:52:14.623Z,"Babuyan Islands region, Philippines",earthquake
2011-01-30T14:19:32.560Z,-37.439,51.521,10,4,mb,9,150.9,,0.88,pde,pde20110130141932560_10,2013-03-16T01:52:14.622Z,"South Indian Ocean",earthquake
2011-01-30T13:39:41.710Z,37.849,-122.03,5.3,2.1,md,6,146,,,pde,pde20110130133941710_5,2014-04-09T10:01:22.144Z,"San Francisco Bay area, California",earthquake
2011-01-30T13:29:07.940Z,-37.532,51.427,10,4.5,mb,24,63.7,,0.92,pde,pde20110130132907940_10,2013-03-16T01:52:14.618Z,"South Indian Ocean",earthquake
2011-01-30T13:03:01.700Z,-19.533,168.569,10,4.8,mb,61,98.5,,1.54,pde,pde20110130130301700_10,2013-03-16T01:52:14.613Z,"Vanuatu",earthquake
2011-01-30T12:37:25.530Z,26.908,143.527,10,4.9,mb,133,46.5,,0.94,pde,pde20110130123725530_10,2013-03-16T01:52:14.577Z,"Bonin Islands, Japan region",earthquake
2011-01-30T12:15:46.240Z,53.877,160.202,70.3,4.8,mb,107,125.8,,0.79,pde,pde20110130121546240_70,2013-03-16T01:52:14.566Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake
2011-01-30T11:29:39.050Z,37.848,-122.032,6.3,3,ml,8,106.7,,,pde,pde20110130112939050_6,2014-04-09T10:01:15.914Z,"San Francisco Bay area, California",earthquake
2011-01-30T11:18:46.760Z,37.849,-122.031,5.5,2.4,md,4,147.8,,,pde,pde20110130111846760_5,2014-04-09T10:01:13.678Z,"San Francisco Bay area, California",earthquake
2011-01-30T11:16:01.490Z,-19.114,-173.469,10,4.9,mb,32,85.5,,0.9,pde,pde20110130111601490_10,2013-03-16T01:52:14.560Z,"Tonga",earthquake
2011-01-30T11:13:06.800Z,37.849,-122.032,6.6,2.9,ml,7,106.7,,,pde,pde20110130111306800_6,2014-04-09T10:01:11.446Z,"San Francisco Bay area, California",earthquake
2011-01-30T09:46:04.320Z,-2.883,100.04,35,4.6,mb,17,181.5,,0.84,pde,pde20110130094604320_35,2013-03-16T01:52:14.557Z,"Kepulauan Mentawai region, Indonesia",earthquake
2011-01-30T07:42:28.470Z,-2.439,140.519,16.4,4.5,mb,17,87.8,,0.95,pde,pde20110130074228470_16,2013-03-16T01:52:14.555Z,"near the north coast of Papua, Indonesia",earthquake
2011-01-30T06:34:56.000Z,35.609,-97.122,5,2.5,md,12,96,,,pde,pde20110130063456000_5,2013-03-16T01:52:14.553Z,"Oklahoma",earthquake
2011-01-30T06:34:33.000Z,37.795,-90.498,5.2,2,mblg,10,119.1,,,pde,pde20110130063433000_5,2014-04-09T11:32:03.320Z,"Missouri",earthquake
2011-01-30T05:58:08.960Z,52.123,-30.011,10,4.1,mb,29,130.8,,0.82,pde,pde20110130055808960_10,2013-03-16T01:52:14.549Z,"northern Mid-Atlantic Ridge",earthquake
2011-01-30T05:29:55.650Z,19.162,-66.042,57.6,3.1,md,9,262.4,,,pde,pde20110130052955650_57,2013-03-16T01:52:14.547Z,"Puerto Rico region",earthquake
2011-01-30T04:43:10.640Z,19.13,-66.045,28.7,3.2,md,14,217.6,,,pde,pde20110130044310640_28,2013-03-16T01:52:14.545Z,"Puerto Rico region",earthquake
2011-01-30T04:41:19.390Z,-19.692,169.034,10,4.2,mb,11,176.6,,0.75,pde,pde20110130044119390_10,2013-03-16T01:52:14.544Z,"Vanuatu",earthquake
2011-01-30T04:28:38.780Z,-19.612,168.484,10,5,mwc,75,70.1,,1.29,pde,pde20110130042838780_10,2014-09-04T16:10:19.000Z,"Vanuatu",earthquake
2011-01-30T04:04:04.740Z,-37.336,51.368,10,4.4,mb,18,104.2,,1.08,pde,pde20110130040404740_10,2013-03-16T01:52:14.534Z,"South Indian Ocean",earthquake
2011-01-30T03:48:34.110Z,11.944,43.868,10,4.8,mb,43,94.2,,1.13,pde,pde20110130034834110_10,2013-03-16T01:52:14.529Z,"Djibouti region",earthquake
2011-01-30T03:31:04.530Z,22.71,144.651,35,4.3,mb,28,98.2,,0.88,pde,pde20110130033104530_35,2013-03-16T01:52:14.496Z,"Volcano Islands, Japan region",earthquake
2011-01-30T03:14:46.640Z,60.045,-148.458,1.2,2.6,ml,56,158.1,,,pde,pde20110130031446640_1,2013-03-16T01:52:14.460Z,"Kenai Peninsula, Alaska",earthquake
2011-01-30T02:48:10.000Z,-29.426,-69.541,112.4,4.4,mb,70,71.1,,,pde,pde20110130024810000_112,2013-03-16T01:52:14.454Z,"San Juan, Argentina",earthquake
2011-01-30T02:45:00.730Z,12.228,141.554,10,4.5,mb,30,78.4,,0.81,pde,pde20110130024500730_10,2013-03-16T01:52:14.451Z,"Mariana Islands region",earthquake
2011-01-30T02:43:34.850Z,26.268,128.752,10,4.3,mb,39,89.6,,0.87,pde,pde20110130024334850_10,2013-03-16T01:52:14.445Z,"Ryukyu Islands, Japan",earthquake
