time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2011-05-31T23:54:00.050Z,38.628,142.001,61.1,4.7,mb,69,97.6,,0.89,pde,pde20110531235400050_61,2013-03-16T00:02:41.841Z,"near the east coast of Honshu, Japan",earthquake
2011-05-31T23:50:23.550Z,-30.798,-177.686,41,4.5,mb,22,208.1,,1.56,pde,pde20110531235023550_41,2013-03-16T00:02:41.823Z,"Kermadec Islands, New Zealand",earthquake
2011-05-31T23:45:18.400Z,-37.912,177.567,50.5,4.4,ml,40,116.2,,,pde,pde20110531234518400_50,2013-03-16T00:02:41.772Z,"off the east coast of the North Island of New Zealand",earthquake
2011-05-31T23:20:03.090Z,36.726,140.514,41.1,4.3,mb,20,128.1,,0.67,pde,pde20110531232003090_41,2013-03-16T00:02:41.768Z,"near the east coast of Honshu, Japan",earthquake
2011-05-31T22:42:54.850Z,58.455,-155.664,150.6,2.7,m,49,108.3,,,pde,pde20110531224254850_150,2013-03-16T00:02:41.759Z,"Alaska Peninsula",earthquake
2011-05-31T22:25:26.910Z,19.497,-67.702,54.7,3.2,md,7,324.8,,,pde,pde20110531222526910_54,2013-03-16T00:02:41.756Z,"Puerto Rico region",earthquake
2011-05-31T22:04:01.230Z,12.433,142.083,207.7,4.4,mb,61,90.3,,0.92,pde,pde20110531220401230_207,2013-03-16T00:02:41.747Z,"Mariana Islands region",earthquake
2011-05-31T22:01:07.250Z,59.862,-153.36,133.6,2.8,m,66,97.7,,,pde,pde20110531220107250_133,2014-04-08T20:53:00.259Z,"Southern Alaska",earthquake
2011-05-31T21:27:36.330Z,39.817,143.34,26,4.7,mb,107,126.8,,0.8,pde,pde20110531212736330_26,2013-03-16T00:02:41.723Z,"off the east coast of Honshu, Japan",earthquake
2011-05-31T21:11:26.070Z,51.34,-178.202,25.6,2.9,ml,13,254.4,,,pde,pde20110531211126070_25,2013-03-16T00:02:41.721Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2011-05-31T21:00:43.280Z,-21.489,169.835,10,4.9,mb,54,112.7,,1,pde,pde20110531210043280_10,2014-09-04T16:36:11.000Z,"southeast of the Loyalty Islands",earthquake
2011-05-31T20:14:28.910Z,-19.428,168.028,35,4.9,mb,51,118.3,,1.03,pde,pde20110531201428910_35,2013-03-16T00:02:41.702Z,"Vanuatu",earthquake
2011-05-31T20:13:40.820Z,0.191,98.488,43.8,4.6,mb,28,171.3,,0.93,pde,pde20110531201340820_43,2013-03-16T00:02:41.698Z,"Nias region, Indonesia",earthquake
2011-05-31T19:08:18.570Z,-5.607,146.762,126.1,4.7,mb,64,31.4,,1.02,pde,pde20110531190818570_126,2014-04-10T07:33:02.054Z,"eastern New Guinea region, Papua New Guinea",earthquake
2011-05-31T18:45:12.930Z,24.542,94.552,54.2,4.3,mb,56,115.3,,0.77,pde,pde20110531184512930_54,2014-04-10T07:32:48.631Z,"Myanmar-India border region",earthquake
2011-05-31T18:17:55.640Z,52.364,-172.982,10,2.9,ml,11,183.2,,,pde,pde20110531181755640_10,2013-03-16T00:02:41.676Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2011-05-31T17:14:38.640Z,36.626,146.463,10,4.8,mb,25,106.5,,1.61,pde,pde20110531171438640_10,2013-03-16T00:02:41.672Z,"off the east coast of Honshu, Japan",earthquake
2011-05-31T16:30:54.810Z,35.175,143.406,10,4.8,mb,40,125.8,,0.79,pde,pde20110531163054810_10,2013-03-16T00:02:41.643Z,"off the east coast of Honshu, Japan",earthquake
2011-05-31T16:26:12.390Z,40.251,143.221,38.8,4.9,mb,170,100.6,,0.98,pde,pde20110531162612390_38,2014-09-04T16:36:10.000Z,"off the east coast of Honshu, Japan",earthquake
2011-05-31T15:17:38.930Z,-2.466,140.143,14.3,4.8,mb,51,41.2,,0.83,pde,pde20110531151738930_14,2013-03-16T00:02:41.576Z,"near the north coast of Papua, Indonesia",earthquake
2011-05-31T13:32:16.270Z,29.248,142.367,17.9,4.6,mb,31,131.3,,1.14,pde,pde20110531133216270_17,2013-03-16T00:02:41.537Z,"Izu Islands, Japan region",earthquake
2011-05-31T13:16:24.110Z,19.948,-66.453,50.5,3.4,md,14,221.9,,,pde,pde20110531131624110_50,2013-03-16T00:02:41.533Z,"Puerto Rico region",earthquake
2011-05-31T13:13:42.290Z,25.062,98.79,34.5,4.7,mb,47,122.6,,0.94,pde,pde20110531131342290_34,2014-04-10T03:05:52.236Z,"Myanmar-China border region",earthquake
2011-05-31T12:34:41.440Z,19.063,-67.84,33,3,md,6,204.4,,,pde,pde20110531123441440_33,2013-03-16T00:02:41.492Z,"Mona Passage",earthquake
2011-05-31T12:28:38.310Z,39.409,141.791,64.9,5.4,mwc,322,91.7,,0.8,pde,pde20110531122838310_64,2014-09-04T16:36:09.000Z,"eastern Honshu, Japan",earthquake
2011-05-31T11:26:51.800Z,37.504,141.158,35,4.7,mb,40,172.4,,1.49,pde,pde20110531112651800_35,2013-03-16T00:02:41.430Z,"near the east coast of Honshu, Japan",earthquake
2011-05-31T11:12:28.950Z,-8.927,108.582,31.4,4.5,mb,30,72.1,,1.04,pde,pde20110531111228950_31,2013-03-16T00:02:41.403Z,"Java, Indonesia",earthquake
