time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2011-06-30T23:41:56.790Z,51.911,-170.538,28.6,3.4,ml,12,224.6,,,pde,pde20110630234156790_28,2013-03-16T00:03:24.149Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-06-30T22:35:01.680Z,-10.248,166.034,35,4.5,mb,11,110.4,,1.08,pde,pde20110630223501680_35,2013-03-16T00:03:24.146Z,"Santa Cruz Islands",earthquake
2011-06-30T22:03:24.000Z,36.459,-120.369,8,3.2,ml,7,159.3,,,pde,pde20110630220324000_8,2014-04-09T10:16:50.244Z,"Central California",earthquake
2011-06-30T22:02:49.440Z,-56.055,-26.397,35,4.4,mb,16,70.7,,0.76,pde,pde20110630220249440_35,2013-03-16T00:03:24.142Z,"South Sandwich Islands region",earthquake
2011-06-30T21:47:59.260Z,40.378,143.401,30,4.8,mb,80,136,,0.92,pde,pde20110630214759260_30,2013-03-16T00:03:24.133Z,"off the east coast of Honshu, Japan",earthquake
2011-06-30T20:49:30.580Z,51.711,-171.675,42.7,3.6,ml,12,221.1,,,pde,pde20110630204930580_42,2013-03-16T00:03:24.131Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-06-30T20:23:47.310Z,-34.187,-179.959,69.8,4.3,mb,13,196.2,,0.99,pde,pde20110630202347310_69,2013-03-16T00:03:24.129Z,"south of the Kermadec Islands",earthquake
2011-06-30T19:26:38.740Z,40.435,-125.799,5,2.8,md,6,282,,,pde,pde20110630192638740_5,2013-03-16T00:03:24.128Z,"off the coast of Northern California",earthquake
2011-06-30T17:19:31.950Z,-2.579,121.68,42.7,4.8,mb,39,65.2,,1.32,pde,pde20110630171931950_42,2013-03-16T00:03:24.124Z,"Sulawesi, Indonesia",earthquake
2011-06-30T16:57:09.050Z,37.794,143.14,14.5,4.8,mb,32,147,,1.11,pde,pde20110630165709050_14,2013-03-16T00:03:24.118Z,"off the east coast of Honshu, Japan",earthquake
2011-06-30T16:39:08.750Z,18.855,-67.793,40,2.7,md,6,320.2,,,pde,pde20110630163908750_40,2013-03-16T00:03:24.117Z,"Mona Passage",earthquake
2011-06-30T16:20:40.950Z,37.382,141.342,44.1,4.5,mb,56,123.5,,1.07,pde,pde20110630162040950_44,2013-03-16T00:03:24.110Z,"near the east coast of Honshu, Japan",earthquake
2011-06-30T15:37:00.070Z,4.514,127.121,88.9,4.5,mb,55,81.9,,1.14,pde,pde20110630153700070_88,2013-03-16T00:03:24.103Z,"Kepulauan Talaud, Indonesia",earthquake
2011-06-30T14:16:18.830Z,-23.274,-176.045,35,5,mb,67,111.1,,1.37,pde,pde20110630141618830_35,2014-09-04T16:20:46.000Z,"south of the Fiji Islands",earthquake
2011-06-30T14:00:09.580Z,-5.897,151.43,35,4.3,mb,12,176.1,,0.69,pde,pde20110630140009580_35,2013-03-16T00:03:24.095Z,"New Britain region, Papua New Guinea",earthquake
2011-06-30T13:59:05.000Z,-13.47,-76.3,77,4.1,m,4,177.9,,,pde,pde20110630135905000_77,2013-03-16T00:03:24.094Z,"near the coast of central Peru",earthquake
2011-06-30T13:47:48.150Z,51.718,-170.757,25.7,3.3,ml,11,229.1,,,pde,pde20110630134748150_25,2013-03-16T00:03:24.092Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-06-30T13:37:26.250Z,-7.106,68.005,10,5.2,mb,113,46.3,,1.07,pde,pde20110630133726250_10,2014-09-04T16:20:45.000Z,"Chagos Archipelago region",earthquake
2011-06-30T13:25:08.190Z,61.051,-150.75,49.4,2.7,ml,57,36,,,pde,pde20110630132508190_49,2013-03-16T00:03:24.075Z,"Southern Alaska",earthquake
2011-06-30T13:23:10.270Z,51.581,-171.297,50,3,ml,11,226.1,,,pde,pde20110630132310270_50,2013-03-16T00:03:24.073Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-06-30T13:22:35.110Z,-7.342,67.998,10,4.4,mb,22,174.5,,0.99,pde,pde20110630132235110_10,2013-03-16T00:03:24.071Z,"Mid-Indian Ridge",earthquake
2011-06-30T13:13:53.030Z,-7.079,68.091,10,4.4,mb,20,199.2,,0.85,pde,pde20110630131353030_10,2013-03-16T00:03:24.068Z,"Chagos Archipelago region",earthquake
2011-06-30T11:16:08.390Z,51.962,-171.521,25.2,3.2,ml,8,212.9,,,pde,pde20110630111608390_25,2013-03-16T00:03:24.067Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-06-30T10:45:57.350Z,60.1,-152.533,87.5,3.3,m,111,53.8,,,pde,pde20110630104557350_87,2013-03-16T00:03:24.056Z,"Southern Alaska",earthquake
2011-06-30T10:22:44.720Z,37.355,141.419,35,4.9,mb,195,122.7,,0.73,pde,pde20110630102244720_35,2013-03-16T00:03:24.038Z,"near the east coast of Honshu, Japan",earthquake
2011-06-30T09:47:09.050Z,-23.566,-175.884,35,5,mb,35,85.8,,1.09,pde,pde20110630094709050_35,2014-09-04T16:20:44.000Z,"Tonga region",earthquake
