time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2011-02-28T23:42:17.440Z,-29.474,-112.061,9.8,5.5,mwc,112,136,,1.06,pde,pde20110228234217440_9,2014-09-04T16:01:43.000Z,"Easter Island region",earthquake
2011-02-28T23:10:26.600Z,3.973,95.958,63.2,5,mb,121,77.7,,0.95,pde,pde20110228231026600_63,2013-03-16T01:52:33.762Z,"off the west coast of northern Sumatra",earthquake
2011-02-28T20:45:43.000Z,-20.387,-68.898,104,5.2,mwr,220,41.4,,0.94,pde,pde20110228204543000_104,2014-09-04T16:01:41.000Z,"Tarapaca, Chile",earthquake
2011-02-28T20:10:12.120Z,-43.605,172.857,2,4.4,ml,54,102.1,,,pde,pde20110228201012120_2,2013-03-16T01:52:33.735Z,"South Island of New Zealand",earthquake
2011-02-28T17:38:51.240Z,53.503,-167.103,4.8,2.6,ml,17,186.8,,,pde,pde20110228173851240_4,2013-03-16T01:52:33.698Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-02-28T16:35:49.440Z,27.635,139.828,488.7,4.7,mb,148,43.4,,0.8,pde,pde20110228163549440_488,2013-03-16T01:52:33.661Z,"Bonin Islands, Japan region",earthquake
2011-02-28T16:17:16.340Z,53.02,-149.84,10,4.4,mb,107,170.2,,0.57,pde,pde20110228161716340_10,2013-03-16T01:52:33.652Z,"south of Alaska",earthquake
2011-02-28T14:41:41.880Z,59.867,-153.222,125.3,2.6,m,59,66.7,,,pde,pde20110228144141880_125,2013-03-16T01:52:33.646Z,"Southern Alaska",earthquake
2011-02-28T14:08:51.500Z,35.281,-92.338,4.1,2.5,md,17,97.1,,,pde,pde20110228140851500_4,2014-04-09T11:34:57.551Z,"Arkansas",earthquake
2011-02-28T13:15:53.400Z,35.274,-92.338,3.7,2.5,md,20,96.9,,,pde,pde20110228131553400_3,2014-04-09T11:34:55.152Z,"Arkansas",earthquake
2011-02-28T13:06:46.000Z,35.271,-92.341,3.1,3,mwr,25,83.7,,,pde,pde20110228130646000_3,2014-04-10T03:44:56.914Z,"Arkansas",earthquake
2011-02-28T13:05:28.690Z,46.216,152.142,28.3,5.1,mwc,169,93.7,,0.97,pde,pde20110228130528690_28,2014-09-04T16:01:39.000Z,"Kuril Islands",earthquake
2011-02-28T12:57:55.790Z,52.805,160.869,39.2,4,mb,14,137.6,,1.01,pde,pde20110228125755790_39,2013-03-16T01:52:33.554Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake
