year,month,magValue,magCount,humanValue,humanCount,moneyValue,moneyCount
2012,1,5,5,0,6,0,2
2012,1,5.5,1,1,0,1,3
2012,1,6,0,10,0,2,2
2012,1,6.5,1,100,1,3,0
2012,1,7,0,1000,0,4,0
2012,1,7.5,0,10000,0,5,0
2012,2,5,4,0,2,0,1
2012,2,5.5,1,1,1,1,0
2012,2,6,0,10,1,2,2
2012,2,6.5,0,100,1,3,2
2012,2,7,0,1000,0,4,0
2012,2,7.5,0,10000,0,5,0
2012,3,5,0,0,1,0,0
2012,3,5.5,1,1,0,1,0
2012,3,6,0,10,0,2,1
2012,3,6.5,0,100,0,3,0
2012,3,7,0,1000,0,4,0
2012,3,7.5,0,10000,0,5,0
2012,4,5,4,0,6,0,2
2012,4,5.5,2,1,0,1,1
2012,4,6,0,10,0,2,2
2012,4,6.5,0,100,0,3,1
2012,4,7,0,1000,0,4,0
2012,4,7.5,0,10000,0,5,0
2012,5,5,3,0,6,0,3
2012,5,5.5,3,1,0,1,3
2012,5,6,0,10,0,2,0
2012,5,6.5,0,100,0,3,0
2012,5,7,0,1000,0,4,0
2012,5,7.5,0,10000,0,5,0
2012,6,5,3,0,3,0,2
2012,6,5.5,2,1,0,1,3
2012,6,6,0,10,1,2,0
2012,6,6.5,0,100,1,3,0
2012,6,7,0,1000,0,4,0
2012,6,7.5,0,10000,0,5,0
2012,7,5,3,0,2,0,0
2012,7,5.5,1,1,3,1,4
2012,7,6,1,10,0,2,0
2012,7,6.5,0,100,0,3,1
2012,7,7,0,1000,0,4,0
2012,7,7.5,0,10000,0,5,0
2012,8,5,4,0,3,0,3
2012,8,5.5,1,1,1,1,2
2012,8,6,0,10,1,2,0
2012,8,6.5,0,100,0,3,0
2012,8,7,0,1000,0,4,0
2012,8,7.5,0,10000,0,5,0
2012,9,5,4,0,2,0,3
2012,9,5.5,1,1,1,1,2
2012,9,6,0,10,0,2,0
2012,9,6.5,0,100,2,3,1
2012,9,7,0,1000,1,4,0
2012,9,7.5,1,10000,0,5,0
2012,10,5,1,0,1,0,0
2012,10,5.5,0,1,0,1,1
2012,10,6,1,10,0,2,1
2012,10,6.5,0,100,1,3,0
2012,10,7,0,1000,0,4,0
2012,10,7.5,0,10000,0,5,0
2012,11,5,3,0,2,0,2
2012,11,5.5,2,1,2,1,2
2012,11,6,1,10,1,2,2
2012,11,6.5,0,100,1,3,0
2012,11,7,0,1000,0,4,0
2012,11,7.5,0,10000,0,5,0
2013,0,5,19,0,15,0,13
2013,0,5.5,7,1,2,1,6
2013,0,6,4,10,9,2,9
2013,0,6.5,1,100,5,3,3
2013,0,7,0,1000,1,4,0
2013,0,7.5,1,10000,0,5,1
2013,1,5,159,0,92,0,101
2013,1,5.5,46,1,53,1,50
2013,1,6,12,10,41,2,47
2013,1,6.5,7,100,37,3,25
2013,1,7,3,1000,3,4,3
2013,1,7.5,1,10000,2,5,2
2013,2,5,58,0,37,0,34
2013,2,5.5,19,1,15,1,20
2013,2,6,3,10,14,2,17
2013,2,6.5,2,100,15,3,11
2013,2,7,0,1000,1,4,0
2013,2,7.5,0,10000,0,5,0
2013,3,5,89,0,69,0,53
2013,3,5.5,21,1,25,1,24
2013,3,6,9,10,15,2,36
2013,3,6.5,4,100,13,3,11
