time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-01-31T23:57:01.000Z,-11,165.496,10,4.6,Mb,33,90,5.67375933,1.11,us,us2013lbbf,2013-03-16T00:10:09.673Z,"48km SW of Lata, Solomon Islands",earthquake
2013-01-31T23:57:00.800Z,-10.898,165.401,10.4,4.6,Mb,23,90,8.98225453,0.53,us,us2013lbbj,2013-06-10T21:05:57.528Z,"51km WSW of Lata, Solomon Islands",earthquake
2013-01-31T23:40:36.400Z,60.362,-151.006,69.6,2.7,Ml,60,64.8,0.41951324,0,us,us2013lbey,2013-06-10T21:18:34.737Z,"14km SSE of Soldotna, Alaska",earthquake
2013-01-31T23:27:50.900Z,55.749,-160.829,15.8,2.5,Ml,9,176.4,0.44915764,0,us,us2013lbex,2013-06-10T21:18:36.184Z,"50km NNW of Sand Point, Alaska",earthquake
2013-01-31T22:22:51.000Z,19.625,-65.516,52,3.2,Md,6,273.6,1.32860831,0,us,us2013lbbn,2013-06-10T21:17:32.430Z,"136km NNE of Vieques, Puerto Rico",earthquake
2013-01-31T22:03:07.300Z,55.412,-135.079,20,3,Ml,9,190.8,1.11840253,0,us,us2013lbew,2013-06-10T21:18:37.805Z,"122km W of Craig, Alaska",earthquake
2013-01-31T21:20:34.000Z,31.941,-94.529,5,2.8,MbLg,10,126,0.20930746,1.51,us,usc000ezjq,2013-03-16T00:10:09.669Z,"13km WNW of Timpson, Texas",earthquake
2013-01-31T21:20:32.800Z,31.875,-94.392,5,3,Md,9,158.4,0.25961312,0.86,us,us2013lbbi,2013-06-10T21:05:58.948Z,"3km S of Timpson, Texas",earthquake
2013-01-31T21:03:07.500Z,-23.556,-111.711,10,4.2,Mb,26,86.4,4.14482672,1.14,us,us2013lbez,2013-06-10T21:17:33.858Z,"Easter Island region",earthquake
2013-01-31T20:31:00.350Z,13.9341,93.0807,42.21,4.5,mb,25,60,2.29,0.93,us,usc000ezb1,2013-03-16T00:10:09.665Z,"250km N of Bamboo Flat, India",earthquake
2013-01-31T20:21:26.400Z,32.0352,-114.9792,7,2.9,ML,0,165,0.47,1.23,us,usc000ezdd,2013-03-16T00:10:09.663Z,"17km S of Estacion Coahuila, Mexico",earthquake
2013-01-31T19:59:34.200Z,38.835,-122.7837,2.3,1.2,Md,,36,0.00898315,0.07,nc,nc71932391,2013-02-07T20:30:13.935Z,"5km WNW of Cobb, California",earthquake
2013-01-31T19:45:39.780Z,26.4097,126.3375,91.52,4.6,mb,44,94,1.78,0.76,us,usc000eza2,2014-04-10T13:26:48.331Z,"135km W of Naha-shi, Japan",earthquake
2013-01-31T18:46:19.900Z,19.3717,-155.2322,3.4,0.9,Ml,,140.4,0.00898315,0.08,hv,hv60461671,2013-02-06T23:42:49.641Z,"6km S of Volcano, Hawaii",earthquake
2013-01-31T18:23:03.240Z,-15.7249,-75.0309,38.78,4.4,mb,17,108,4.11,0.7,us,usc000f586,2013-03-05T22:14:47.187Z,"55km SW of Acari, Peru",earthquake
